Component,Origin,License
core,"github.com/frapposelli/wwhrd",MIT
core,"github.com/cpuguy83/go-md2man/md2man",MIT
core,"github.com/fsnotify/fsnotify",NewBSD
core,"github.com/golang/glog",Apache-2.0
core,"github.com/hashicorp/hcl",MPL-2.0
core,"github.com/hashicorp/hcl/hcl/ast",MPL-2.0
core,"github.com/hashicorp/hcl/hcl/parser",MPL-2.0
core,"github.com/hashicorp/hcl/hcl/printer",MPL-2.0
core,"github.com/hashicorp/hcl/hcl/scanner",MPL-2.0
core,"github.com/hashicorp/hcl/hcl/strconv",MPL-2.0
core,"github.com/hashicorp/hcl/hcl/token",MPL-2.0
core,"github.com/hashicorp/hcl/json/parser",MPL-2.0
core,"github.com/hashicorp/hcl/json/scanner",MPL-2.0
core,"github.com/hashicorp/hcl/json/token",MPL-2.0
core,"github.com/inconshreveable/mousetrap",Apache-2.0
core,"github.com/magiconair/properties",FreeBSD
core,"github.com/mitchellh/mapstructure",MIT
core,"github.com/pelletier/go-toml",MIT
core,"github.com/pmezard/go-difflib/difflib",FreeBSD
core,"github.com/russross/blackfriday",FreeBSD
core,"github.com/spf13/afero",Apache-2.0
core,"github.com/spf13/afero/mem",Apache-2.0
core,"github.com/spf13/cast",MIT
core,"github.com/spf13/cobra",Apache-2.0
core,"github.com/spf13/cobra/doc",Apache-2.0
core,"github.com/spf13/jwalterweatherman",MIT
core,"github.com/spf13/pflag",NewBSD
core,"github.com/spf13/viper",MIT
core,"github.com/stretchr/testify/assert",MIT
core,"golang.org/x/sys/unix",NewBSD
core,"golang.org/x/text/internal/gen",NewBSD
core,"golang.org/x/text/internal/triegen",NewBSD
core,"golang.org/x/text/internal/ucd",NewBSD
core,"golang.org/x/text/transform",NewBSD
core,"golang.org/x/text/unicode/cldr",NewBSD
core,"golang.org/x/text/unicode/norm",NewBSD
core,"gopkg.in/yaml.v2",Apache-2.0
